Tweet_ID,Text,Created_At
1890252597380157918,@stirfrychasesg1 @AP That’s them alright,
1890251954309460204,@twobitidiot Based,
1890251334412317038,@RonWyden 🤣🤣,
1890251027309556045,@SawyerMerritt Smart move,
1890246485528424595,@America1stLegal !!,
1890229923513790968,RT @cb_doge: Elon Musk was wearing his “Tech Support” T-shirt during his meeting with Indian Prime Minister Narendra Modi today. https://t.…,
1890226872233206212,RT @BasedMikeLee: Extraordinary writ of mandamus,
1890182649974817070,"Reuters was literally paid by the federal government for “Large Scale Social Deception”. 

That’s literally what it says on the official government documents!! https://t.co/cEaUPsEwA3",
1890182275171774960,@NoemiKhachian ❤️,
1890182025644286325,@SpencerLndqst ??,
